 ,Production (Wh)
2022-06-01,13398
2022-06-02,16681
2022-06-03,17281
2022-06-04,13479
2022-06-05,3721
2022-06-06,1986
2022-06-07,4974
2022-06-08,11875
2022-06-09,8873
2022-06-10,16031
2022-06-11,17521
2022-06-12,17070
2022-06-13,16136
2022-06-14,16505
2022-06-15,15507
2022-06-16,6710
2022-06-17,3954
2022-06-18,17302
2022-06-19,16938
2022-06-20,15747
2022-06-21,3093
2022-06-22,1836
2022-06-23,4587
2022-06-24,3128
2022-06-25,13845
2022-06-26,6306
2022-06-27,1871
2022-06-28,1205
2022-06-29,16299
2022-06-30,16152
