 ,Production (Wh)
2022-04-01,0
2022-04-02,0
2022-04-03,0
2022-04-04,0
2022-04-05,0
2022-04-06,0
2022-04-07,0
2022-04-08,0
2022-04-09,0
2022-04-10,0
2022-04-11,0
2022-04-12,0
2022-04-13,0
2022-04-14,0
2022-04-15,0
2022-04-16,0
2022-04-17,0
2022-04-18,0
2022-04-19,15405
2022-04-20,19559
2022-04-21,17739
2022-04-22,10947
2022-04-23,19301
2022-04-24,22146
2022-04-25,167
2022-04-26,17537
2022-04-27,5417
2022-04-28,4000
2022-04-29,11767
2022-04-30,6471
2022-10-01,19108
2022-10-02,22247
2022-10-03,27489
2022-10-04,27836
2022-10-05,27091
2022-10-06,5467
2022-10-07,25844
2022-10-08,27776
2022-10-09,28780
2022-10-10,26928
2022-10-11,9090
2022-10-12,23976
2022-10-13,28981
2022-10-14,24170
2022-10-15,17341
2022-10-16,19059
 ,Production (Wh)
2022-09-01,3633
2022-09-02,10039
2022-09-03,24959
2022-09-04,24732
2022-09-05,24216
2022-09-06,16933
2022-09-07,21173
2022-09-08,16020
2022-09-09,3331
2022-09-10,26188
2022-09-11,22035
2022-09-12,19130
2022-09-13,16324
2022-09-14,20086
2022-09-15,19483
2022-09-16,25510
2022-09-17,25126
2022-09-18,17939
2022-09-19,6476
2022-09-20,17585
2022-09-21,7368
2022-09-22,5840
2022-09-23,27773
2022-09-24,26969
2022-09-25,19694
2022-09-26,20213
2022-09-27,26693
2022-09-28,25259
2022-09-29,17098
2022-09-30,7113
 ,Production (Wh)
2022-08-01,10157
2022-08-02,8786
2022-08-03,2568
2022-08-04,2399
2022-08-05,17543
2022-08-06,13493
2022-08-07,8671
2022-08-08,12500
2022-08-09,12939
2022-08-10,11119
2022-08-11,20354
2022-08-12,17242
2022-08-13,12823
2022-08-14,17182
2022-08-15,2493
2022-08-16,21277
2022-08-17,8654
2022-08-18,18304
2022-08-19,22362
2022-08-20,22124
2022-08-21,22109
2022-08-22,15003
2022-08-23,16672
2022-08-24,13008
2022-08-25,13622
2022-08-26,8805
2022-08-27,14760
2022-08-28,20872
2022-08-29,23840
2022-08-30,23408
2022-08-31,18512
 ,Production (Wh)
2022-07-01,12126
2022-07-02,2902
2022-07-03,10138
2022-07-04,2668
2022-07-05,1159
2022-07-06,8749
2022-07-07,4332
2022-07-08,8392
2022-07-09,8306
2022-07-10,12024
2022-07-11,3465
2022-07-12,10295
2022-07-13,17681
2022-07-14,2802
2022-07-15,5493
2022-07-16,2195
2022-07-17,8420
2022-07-18,17803
2022-07-19,17872
2022-07-20,13920
2022-07-21,7768
2022-07-22,10431
2022-07-23,15676
2022-07-24,6947
2022-07-25,13278
2022-07-26,16181
2022-07-27,15287
2022-07-28,956
2022-07-29,13347
2022-07-30,18550
2022-07-31,18698
 ,Production (Wh)
2022-06-01,13398
2022-06-02,16681
2022-06-03,17281
2022-06-04,13479
2022-06-05,3721
2022-06-06,1986
2022-06-07,4974
2022-06-08,11875
2022-06-09,8873
2022-06-10,16031
2022-06-11,17521
2022-06-12,17070
2022-06-13,16136
2022-06-14,16505
2022-06-15,15507
2022-06-16,6710
2022-06-17,3954
2022-06-18,17302
2022-06-19,16938
2022-06-20,15747
2022-06-21,3093
2022-06-22,1836
2022-06-23,4587
2022-06-24,3128
2022-06-25,13845
2022-06-26,6306
2022-06-27,1871
2022-06-28,1205
2022-06-29,16299
2022-06-30,16152
 ,Production (Wh)
2022-05-01,14393
2022-05-02,0
2022-05-03,0
2022-05-04,0
2022-05-05,0
2022-05-06,4118
2022-05-07,19621
2022-05-08,19443
2022-05-09,18715
2022-05-10,7710
2022-05-11,7617
2022-05-12,17683
2022-05-13,16689
2022-05-14,11828
2022-05-15,4821
2022-05-16,6594
2022-05-17,2714
2022-05-18,7381
2022-05-19,8386
2022-05-20,8412
2022-05-21,17246
2022-05-22,17566
2022-05-23,17118
2022-05-24,16973
2022-05-25,4137
2022-05-26,2389
2022-05-27,3685
2022-05-28,3287
2022-05-29,9851
2022-05-30,18237
2022-05-31,14592
