 ,Production (Wh)
2022-09-01,3633
2022-09-02,10039
2022-09-03,24959
2022-09-04,24732
2022-09-05,24216
2022-09-06,16933
2022-09-07,21173
2022-09-08,16020
2022-09-09,3331
2022-09-10,26188
2022-09-11,22035
2022-09-12,19130
2022-09-13,16324
2022-09-14,20086
2022-09-15,19483
2022-09-16,25510
2022-09-17,25126
2022-09-18,17939
2022-09-19,6476
2022-09-20,17585
2022-09-21,7368
2022-09-22,5840
2022-09-23,27773
2022-09-24,26969
2022-09-25,19694
2022-09-26,20213
2022-09-27,26693
2022-09-28,25259
2022-09-29,17098
2022-09-30,7113
